nama|kota
Apotek Arwinda|CIANJUR
Apotek Bunda Alya|GARUT
Apotek Wijaya|MEDAN
Apotek Trilona|MEDAN
Apotek Alba Medika|SURABAYA
Apotek K 24 Sayati|BANDUNG
Apotek Aza Farma|PEKANBARU
Apotek Dhiya Farma|KUDUS
Apotek Winduhaji|KUNINGAN
Apotek Widyastuti|BALIKPAPAN
Apotek Al Hasan|BENGKULU
Apotek Qaysar Farma Ii|AMBON
Apotek Glafidsya|CIANJUR
Apotek Pandak|KUDUS
Apotek Beraban|TABANAN
Apotek Ezio Farma|SIDOARJO
Apotek Health Care|SUMENEP
Apotek Gressia|BANGKA TENGAH
Apotek Dilfa|PINRANG
Apotek Century A. Yani|SAMARINDA
Apotek Ar. New Sampurna|JAKARTA BARAT
Apotek Taman Sehat|MADIUN
Apotek Tanjung|DELI SERDANG
Apotek Cikoneng|PANDEGLANG
Apotek Cihideung|GARUT
Apotek Sukorejo|KENDAL
Apotek Semesta Group 17 Wuluhan|JEMBER
Apotek Ku (Keluargaku)|BANDUNG
Apotek Mikro|SURAKARTA
Apotek Setia 2|MANADO
Apotek Sinar Jaya|SERDANG BEDAGAI
Apotek Terang Jaya|SURABAYA
Apotek Asri Ii|SEMARANG
Apotek Nitta|BANJAR
Apotek Viva Generik Tenggilis Kauman|SURABAYA
Apotek Permata Palem|JAKARTA BARAT
Apotek Musuk Farma|BOYOLALI
Apotek Satria Dua|PEMALANG
Apotek Mojosongo|KARANGANYAR
Apotek Arham|LEMBATA
Apotek Kimia Farma 67|JEMBER
Apotek Angger|LAMPUNG UTARA
Apotek Kasuari|SIDOARJO
Apotek Dwi Ayu|SIDOARJO
Apotek Ratu Duta|SAROLANGUN
Apotek Citra Medika Farma|CIANJUR
Apotek Al Barkah Sehat|MALANG
Apotek Benza|SIDOARJO
Apotek Watsons Plaza Buaran|JAKARTA TIMUR
Apotek Suyudi|LAMONGAN
Apotek Viva Generik Tambak Segaran|SURABAYA
Apotek Aza Medika|MADIUN
Apotek Lamongan Jaya|SEMARANG
Apotek Munggaran Farma|BANDUNG BARAT
Apotek Amerta|JAKARTA SELATAN
Apotek Tapen|BANJARNEGARA
Apotek Pluit Muara Karang|JAKARTA UTARA
Apotek Surojenggolo|GRESIK
Apotek Aisyiya|KUPANG
Apotek Teguh|JAKARTA UTARA
Apotek Guardian Ps|PALEMBANG
Apotek Century Superindo Str|JAKARTA UTARA
Apotek Jodo Ii|TULANGBAWANG
Apotek Griya Sehat|PESAWARAN
Apotek Mikhaila Farma|SRAGEN
Apotek Rajin|PASURUAN
Apotek Generik Haji Soleh I|JAKARTA BARAT
Apotek Prananda|DELI SERDANG
Apotek Mitra Bersama|SAMARINDA
Apotek Century Pasar 8 Alam Sutera|TANGERANG SELATAN
Apotek Kimia Farma Dewi Sartika|KARAWANG
Apotek Jakarta Skin Center|JAKARTA SELATAN
Apotek Century Kem Chik|JAKARTA SELATAN
Apotek Marindal|MEDAN
Apotek Andalan Jaya|PEKANBARU
Apotek Dino Abadi Farma|JAKARTA TIMUR
Apotek Insan Nurani Farma|SIDOARJO
Apotek Century Kebagusan Raya|JAKARTA SELATAN
Apotek Generik Purnawarman|TANGERANG SELATAN
Apotek New Pradhana|TANGERANG
Apotek Housing|BEKASI
Apotek Parama Jaya|SURABAYA
Apotek Ketintang|SURABAYA
Apotek Cikakak|BREBES
Apotek Pakisaji|MALANG
Apotek Armina Syifa|MADIUN
Apotek Juan Farma Ii|OGAN KOMERING ULU
Apotek K 24 Pudak Payung|SEMARANG
Apotek Adi Medika|BADUNG
Apotek Batavia Farma|MAMUJU
Apotek Cengkal Farma|WONOGIRI
Apotek Dr. Ismangil I|BLITAR
Apotek Sandri|MANADO
Apotek Sinar|SERDANG BEDAGAI
Apotek K   24 Karah Agung|SURABAYA
Apotek Sehat Farma|GAYO LUES
Apotek K24 Tekun|JAKARTA BARAT
Apotek Zee Farma|LOMBOK TENGAH
Apotek Dr. Ratna Skin Centre|SURABAYA
Apotek Untung|BANDAR LAMPUNG
Apotek Adang Farma|TULUNGAGUNG
Apotek Kimia Farma 166|SURABAYA
Apotek Muria|LAMPUNG SELATAN
Apotek Qieta Farma|TAPIN
Apotek Apotik Mustika|SERANG
Apotek Sentra Medika Surabaya|SURABAYA
Apotek Inas Farma|PAMEKASAN
Apotek Dr. Jo|BEKASI
Apotek Fadila Farma|MADIUN
Apotek Kimia Farma Guntur|JAKARTA SELATAN
Apotek Guardian Lotte Taman Surya|JAKARTA BARAT
Apotek Kimia Farma 14|BANDUNG
Apotek Cipondoh|TANGERANG
Apotek K24 Raya Delanggu|KLATEN
Apotek Melasuka|KARAWANG
Apotek Fortuna ( Eks To )|JAKARTA PUSAT
Apotek Medivita|JAKARTA BARAT
Apotek Dzaky|BENGKULU SELATAN
Apotek Cokro|KARANGANYAR
Apotek Waringin Mulyo 2|TEMANGGUNG
Apotek Radika|SIDOARJO
Apotek Galenis|CIREBON
Apotek Alita|PEKANBARU
Apotek Matingkat|TABALONG
Apotek Ardila|SURABAYA
Apotek Fadica|SIDOARJO
Apotek Meloy Farma|KUTAI TIMUR
Apotek Jodan|JAYAPURA
Apotek Kembang Agung|JAKARTA BARAT
Apotek Rizky Farma|DELI SERDANG
Apotek Century Kalibata City|JAKARTA SELATAN
Apotek Prima I|PALEMBANG
Apotek Gemari I|BANDAR LAMPUNG
Apotek Pusaka Farma|JAKARTA UTARA
Apotek Wae Laku 2|MANGGARAI
Apotek Klinik Harapan Medika|ROKAN HULU
Apotek Rossi|BANDUNG
Apotek Puspa Husada|PONOROGO
Apotek Nadya Farma 2|SEMARANG
Apotek Nathassa|MEDAN
Apotek Bulupitu|BANYUMAS
Apotek Khairul Bariyyah|KOLAKA
Apotek Rahmat Annisa|LANGSA
Apotek Century Pharma Pisangan|JAKARTA TIMUR
Apotek Parung Panjang|BOGOR
Apotek Fazila Farma|KEBUMEN
Apotek Kedaton Medical Center|BANDAR LAMPUNG
Apotek K 24 Mall Of Indonesia|JAKARTA UTARA
Apotek Sende Farma|PALEMBANG
Apotek Karunia Sehat Farma|SUKOHARJO
Apotek Pakita|SIDOARJO
Apotek Nusa Raya|JAKARTA UTARA
Apotek Teratai|MEDAN
Apotek A. Yani Farma|KUPANG
Apotek Ulujami|JAKARTA SELATAN
Apotek K H R I S T A|SURABAYA
Apotek As Syifa|BENGKULU SELATAN
Apotek Semoga Sehat Farma|SAMARINDA
Apotek J.J|JAKARTA UTARA
Apotek Sukanagara|BANDUNG
Apotek Nu Orange|DENPASAR
Apotek Aurania|AMBON
Apotek Kf (Pajang)|MATARAM
Apotek M. Yamin|LOMBOK TIMUR
Apotek Alamanda Ngagel|SURABAYA
Apotek Karya Makmur|JAKARTA BARAT
Apotek Pemata Bunda|PONTIANAK
Apotek New Fortuna|PANDEGLANG
Apotek Vega|KUBU RAYA
Apotek Pati|PATI
Apotek Mubaroc Farma|KEDIRI
Apotek Hoki|PEMALANG
Apotek Kem Kem|SAMARINDA
Apotek Nijeanril Medika|ROKAN HULU
Apotek Mangga Dua Farma|TERNATE
Apotek 3 Anugerah|WONOGIRI
Apotek Risma|BEKASI
Apotek Eri Farma|KARANGANYAR
Apotek Kosambi|BANDUNG
Apotek Kedamaian Farma|BANDAR LAMPUNG
Apotek Agi Farma|KONAWE
Apotek Kimia Farma 178|SEMARANG
Apotek Sintuwu Farma|POSO
Apotek Adelina Medika|DEPOK
Apotek Bandung Eye Center|BANDUNG
Apotek Karomah|TEGAL
Apotek Sami Sehat|KEDIRI
Apotek Bhineka Farma|SURABAYA
Apotek Mustika Sehat|KOTAWARINGIN TIMUR
Apotek Jasmine|JAKARTA TIMUR
"""Apotek Al Ma'Soem """"O"""""""|
Apotek Nuraya Farma|BANYUMAS
Apotek Darwin Medica|JAKARTA BARAT
Apotek K   24 Dukuh Kupang|SURABAYA
Apotek K3Pg|GRESIK
Apotek Lekas|KLATEN
Apotek Mars|DEPOK
Apotek Kaibon|MADIUN
Apotek Sendy|SURABAYA
Apotek Fatimah Husada|CILACAP
Apotek Syafa|JAKARTA TIMUR
Apotek Dewi 2|MEDAN
Apotek Sari Mulia|HULU SUNGAI UTARA
Apotek Happy Kids|AMBON
Apotek Gandi Farma|SERANG
Apotek Century Bay Walk Mall|JAKARTA UTARA
Apotek Multi Plus|KAMPAR
Apotek Kembang Kerep|JAKARTA BARAT
Apotek Arma|BENGKALIS
Apotek Nuari Farma|BANTUL
Apotek Madusari|PONOROGO
Apotek Generik Saikin Raya|JAKARTA SELATAN
Apotek Nia|PADANG
Apotek Zaronun Farma|BANYUWANGI
Apotek Tri Sutajaya|SIDOARJO
Apotek Kf Bendungan Hilir|JAKARTA PUSAT
